data_time,price
27:33.8,25314.99
27:34.2,25314.99
27:34.4,25313.58
27:35.8,25313.58
27:36.4,25314.46
27:36.4,25314.46
27:37.8,25314.46
27:38.4,25313.99
27:38.6,25313.99
27:39.8,25313.99
27:40.4,25316.92
27:40.7,25316.92
27:41.8,25316.92
27:42.5,25318.06
27:42.9,25318.06
27:43.8,25318.06
27:44.4,25314.08
27:45.1,25314.08
27:45.8,25314.08
27:46.4,25315.79
27:47.3,25315.79
27:47.8,25315.79
27:48.4,25313.52
27:49.4,25313.52
27:49.8,25313.52
27:50.4,25312.4
27:51.6,25312.4
27:51.8,25312.4
27:52.4,25312.7
27:53.8,25312.7
27:53.8,25312.7
27:54.6,25311.18
27:55.8,25311.18
27:55.9,25311.18
27:56.6,25310.41
27:57.8,25310.41
27:58.1,25310.41
27:58.4,25312.03
27:59.8,25312.03
28:00.3,25312.03
28:00.4,25312.35
28:00.5,25312.35
28:01.8,25312.35
28:02.4,25312.41
28:02.5,25312.41
28:03.8,25312.41
28:04.4,25309.86
28:04.6,25309.86
28:05.8,25309.86
28:06.4,25310.68
28:06.8,25310.68
28:06.8,25310.68
28:08.5,25313.68
28:09.0,25313.68
28:09.8,25313.68
28:10.4,25314.74
28:11.1,25314.74
28:12.1,25314.74
28:12.5,25312.45
28:13.4,25312.45
28:13.8,25312.45
28:14.3,25308.86
28:15.6,25308.86
28:15.8,25308.86
28:16.4,25308.33
28:16.8,25308.33
28:17.7,25308.33
28:18.4,25308.03
28:19.8,25308.03
28:19.9,25308.03
28:20.4,25308.09
28:21.8,25308.09
28:22.0,25308.09
28:22.4,25307.31
28:23.8,25307.31
28:24.3,25307.31
28:24.4,25306.93
28:25.8,25306.93
28:26.4,25304.98
28:26.4,25304.98
28:27.8,25304.98
28:28.4,25303.6
28:28.6,25303.6
28:29.8,25303.6
28:30.4,25302.16
28:30.8,25302.16
28:31.8,25302.16
28:32.6,25301.66
28:32.9,25301.66
28:33.8,25301.66
28:34.5,25305.26
28:35.1,25305.26
28:35.8,25305.26
28:36.4,25305.63
28:37.3,25305.63
28:37.8,25305.63
28:38.6,25303.97
28:39.4,25303.97
28:39.8,25303.97
28:40.4,25302.3
28:41.7,25302.3
28:41.8,25302.3
28:42.4,25303.73
28:43.8,25303.73
28:43.8,25303.73
28:44.4,25306.27
28:45.8,25306.27
28:45.9,25306.27
28:46.6,25305.1
28:47.8,25305.1
28:48.2,25305.1
28:48.4,25305.76
28:49.8,25305.76
28:50.4,25305.76
28:50.4,25305.46
28:52.0,25305.46
28:52.4,25302.52
28:52.5,25302.52
28:53.8,25302.52
28:54.4,25300.97
28:54.7,25300.97
28:55.8,25300.97
28:56.4,25303.84
28:56.8,25303.84
28:57.8,25303.84
28:58.4,25301.41
28:59.1,25301.41
28:59.8,25301.41
29:00.4,25301.68
29:01.2,25301.68
29:01.8,25301.68
29:02.4,25298.85
29:03.5,25298.85
29:03.5,25298.85
29:03.8,25298.85
29:04.4,25297.86
29:05.6,25297.86
29:05.8,25297.86
29:06.4,25298.19
29:07.8,25298.19
29:07.8,25298.19
29:08.4,25297.46
29:09.8,25297.46
29:09.9,25297.46
29:10.4,25297.6
29:11.9,25297.6
29:12.1,25297.6
29:12.4,25296.79
29:13.8,25296.79
29:14.2,25296.79
29:14.4,25298.99
29:14.8,25298.99
29:16.4,25297.7
29:16.4,25297.7
29:17.8,25297.7
29:18.4,25299.37
29:18.6,25299.37
29:19.8,25299.37
29:20.5,25299.03
29:20.7,25299.03
29:21.8,25299.03
29:22.4,25298.59
29:22.9,25298.59
29:23.9,25298.59
29:24.5,25298.41
29:25.1,25298.41
29:25.8,25298.41
29:26.4,25298.28
29:27.3,25298.28
29:27.9,25298.28
29:28.5,25299.31
29:29.4,25299.31
29:29.8,25299.31
29:30.4,25297.67
29:31.6,25297.67
