timestamp,from,to
1764125598000,normal:neutral,normal:trending
1764125610000,normal:trending,normal:neutral
1764125613000,normal:neutral,normal:mean_reverting
1764125775000,normal:mean_reverting,normal:neutral
1764125790000,normal:neutral,normal:trending
1764125922000,normal:trending,normal:neutral
1764126090000,normal:neutral,high_volatility:neutral
1764126144000,high_volatility:neutral,high_volatility:trending
1764126180000,high_volatility:trending,normal:trending
1764126270000,normal:trending,high_volatility:trending
1764126312000,high_volatility:trending,high_volatility:mean_reverting
1764126339000,high_volatility:mean_reverting,normal:mean_reverting
1764126348000,normal:mean_reverting,normal:trending
1764126351000,normal:trending,normal:mean_reverting
1764126378000,normal:mean_reverting,high_volatility:mean_reverting
1764126417000,high_volatility:mean_reverting,high_volatility:neutral
1764126516000,high_volatility:neutral,high_volatility:trending
1764126585000,high_volatility:trending,normal:trending
1764126612000,normal:trending,normal:neutral
1764126726000,normal:neutral,normal:trending
1764126765000,normal:trending,normal:neutral
1764126768000,normal:neutral,normal:mean_reverting
1764126834000,normal:mean_reverting,normal:neutral
1764126837000,normal:neutral,normal:trending
1764127008000,normal:trending,high_volatility:trending
1764127029000,high_volatility:trending,high_volatility:neutral
1764127080000,high_volatility:neutral,normal:neutral
1764127119000,normal:neutral,normal:trending
1764127143000,normal:trending,normal:neutral
1764127281000,normal:neutral,high_volatility:neutral
1764127386000,high_volatility:neutral,normal:neutral
1764127443000,normal:neutral,normal:trending
1764127488000,normal:trending,normal:neutral
1764127539000,normal:neutral,normal:trending
1764127563000,normal:trending,normal:mean_reverting
1764127683000,normal:mean_reverting,normal:trending
1764127686000,normal:trending,normal:neutral
1764127698000,normal:neutral,normal:trending
1764127725000,normal:trending,normal:neutral
1764137106000,normal:neutral,normal:trending
1764137160000,normal:trending,high_volatility:trending
1764137241000,high_volatility:trending,high_volatility:neutral
1764137253000,high_volatility:neutral,high_volatility:trending
1764137280000,high_volatility:trending,normal:trending
1764137355000,normal:trending,normal:neutral
1764137499000,normal:neutral,normal:trending
1764137589000,normal:trending,normal:neutral
1764137613000,normal:neutral,normal:trending
1764137733000,normal:trending,normal:neutral
1764137739000,normal:neutral,normal:trending
1764137817000,normal:trending,normal:neutral
1764137850000,normal:neutral,normal:trending
1764137868000,normal:trending,normal:neutral
1764137889000,normal:neutral,normal:trending
1764137892000,normal:trending,normal:mean_reverting
1764138066000,normal:mean_reverting,normal:trending
1764138087000,normal:trending,normal:mean_reverting
1764138171000,normal:mean_reverting,normal:neutral
1764138321000,normal:neutral,normal:trending
1764138420000,normal:trending,normal:neutral
1764138510000,normal:neutral,high_volatility:neutral
1764138522000,high_volatility:neutral,high_volatility:trending
1764138600000,high_volatility:trending,high_volatility:neutral
1764138618000,high_volatility:neutral,normal:neutral
1764138630000,normal:neutral,normal:trending
1764138723000,normal:trending,normal:neutral
1764138726000,normal:neutral,normal:mean_reverting
1764138789000,normal:mean_reverting,high_volatility:mean_reverting
1764138834000,high_volatility:mean_reverting,high_volatility:trending
1764138891000,high_volatility:trending,normal:mean_reverting
1764138930000,normal:mean_reverting,normal:trending
1764138945000,normal:trending,high_volatility:trending
1764138948000,high_volatility:trending,high_volatility:mean_reverting
1764138984000,high_volatility:mean_reverting,high_volatility:neutral
1764139008000,high_volatility:neutral,normal:mean_reverting
1764139131000,normal:mean_reverting,normal:trending
1764139137000,normal:trending,normal:neutral
1764139179000,normal:neutral,high_volatility:neutral
