run_id,regime,duration
1,normal:neutral,50
2,normal:trending,64
3,normal:neutral,50
4,normal:trending,78
5,normal:neutral,50
6,normal:trending,74
7,normal:neutral,50
8,normal:trending,50
9,normal:neutral,50
10,normal:trending,58
11,normal:neutral,56
12,normal:trending,50
13,normal:neutral,50
14,normal:trending,50
15,normal:neutral,77
16,normal:trending,51
17,normal:neutral,53
18,normal:trending,88
19,normal:neutral,50
20,normal:trending,55
21,normal:neutral,50
22,normal:trending,80
23,normal:neutral,65
24,normal:trending,50
25,normal:neutral,50
26,normal:trending,50
27,normal:neutral,72
28,normal:trending,63
29,normal:neutral,50
30,normal:trending,50
31,normal:neutral,55
32,normal:trending,54
33,normal:neutral,50
34,normal:trending,50
35,normal:neutral,50
36,normal:trending,50
37,normal:neutral,50
38,normal:trending,57
39,normal:neutral,50
40,normal:trending,50
41,normal:neutral,50
42,normal:trending,53
43,normal:neutral,61
44,normal:trending,50
45,normal:neutral,50
46,normal:trending,50
47,normal:neutral,63
48,normal:trending,66
49,normal:neutral,76
50,normal:trending,83
51,normal:neutral,50
52,normal:trending,50
53,normal:neutral,50
54,normal:trending,50
55,normal:neutral,50
56,normal:trending,59
57,normal:neutral,57
58,normal:trending,50
59,normal:neutral,50
60,normal:trending,53
61,normal:neutral,50
62,normal:trending,50
63,normal:neutral,50
64,normal:trending,50
65,normal:neutral,76
66,normal:trending,68
67,normal:neutral,53
68,normal:trending,50
69,normal:neutral,50
70,normal:trending,50
71,normal:neutral,50
72,normal:trending,50
73,normal:neutral,50
74,normal:trending,50
75,normal:neutral,59
76,normal:trending,51
77,normal:neutral,71
78,normal:trending,60
79,normal:neutral,50
80,normal:trending,50
81,normal:neutral,50
82,normal:trending,50
83,normal:neutral,98
84,normal:trending,51
85,normal:neutral,53
86,normal:trending,62
87,normal:neutral,50
88,normal:trending,50
89,normal:neutral,50
90,normal:trending,77
91,normal:neutral,50
92,normal:trending,50
93,normal:neutral,54
94,normal:trending,51
95,normal:neutral,52
96,normal:trending,85
97,normal:neutral,50
98,normal:trending,52
99,normal:neutral,50
100,normal:trending,50
101,normal:neutral,145
102,normal:trending,50
103,normal:neutral,50
104,normal:trending,50
105,normal:neutral,50
106,normal:trending,50
107,normal:neutral,64
108,normal:trending,50
109,normal:neutral,85
110,normal:trending,82
111,normal:neutral,50
112,normal:trending,63
113,normal:neutral,50
114,normal:trending,51
115,normal:neutral,79
116,normal:trending,50
117,normal:neutral,51
118,normal:trending,62
119,normal:neutral,50
120,normal:trending,50
121,normal:neutral,53
122,normal:trending,54
123,normal:neutral,50
124,normal:trending,50
125,normal:neutral,50
126,normal:trending,50
127,normal:neutral,61
128,normal:trending,50
129,normal:neutral,58
130,normal:trending,50
131,normal:neutral,50
132,normal:trending,74
133,normal:neutral,50
134,normal:trending,50
135,normal:neutral,82
136,normal:trending,67
137,normal:neutral,50
138,normal:trending,65
139,normal:neutral,50
140,normal:trending,80
141,normal:neutral,51
142,normal:trending,50
143,normal:neutral,84
144,normal:trending,87
145,normal:neutral,50
146,normal:trending,53
147,normal:neutral,82
148,normal:trending,50
149,normal:neutral,59
150,normal:trending,71
151,normal:neutral,98
152,normal:trending,51
153,normal:neutral,64
154,normal:trending,50
155,normal:neutral,50
156,normal:trending,78
157,normal:neutral,52
158,normal:trending,84
159,normal:neutral,59
160,normal:trending,52
