symbol,tx_server_time,tx_local_time,index_price,fx_rate,sentiment,price,iopv,premium_rate,tick_vol,tick_amt,tick_vwap,bp1,bv1,bp2,bv2,bp3,bv3,bp4,bv4,bp5,bv5,sp1,sv1,sp2,sv2,sp3,sv3,sp4,sv4,sp5,sv5,idx_delay_ms,fut_delay_ms,data_flags
sh513130,09:30:05,1767835807902,5700.98,0.8981,4.6605,0.743,0.7437,-0.0941,0,0,0.743,0.743,13894300,0.742,44116200,0.741,30241800,0.74,47467300,0.739,31866900,0.744,11932600,0.745,27233500,0.746,28472300,0.747,26166100,0.748,23985900,771,100,1
sh513130,09:30:08,1767835810883,5699.79,0.8981,4.5736,0.743,0.7424,0.0808,7237200,5378673,0.7432,0.743,5396600,0.742,43206700,0.741,35813500,0.74,49452500,0.739,40150400,0.744,17405800,0.745,24572000,0.746,28810800,0.747,22175600,0.748,21309100,367,100,0
sh513130,09:30:11,1767835812883,5696.84,0.8981,4.362,0.744,0.7417,0.3101,535400,398056,0.7435,0.743,8970700,0.742,28996500,0.741,37566500,0.74,51221900,0.739,40619100,0.744,19235000,0.745,25717700,0.746,29437500,0.747,21496500,0.748,22229100,365,100,0
sh513130,09:30:14,1767835816887,5694.22,0.8981,4.409,0.743,0.7417,0.1753,7094000,5271194,0.743,0.743,5969700,0.742,27114400,0.741,38127900,0.74,54559700,0.739,40694700,0.744,19665100,0.745,26168600,0.746,29554600,0.747,22360100,0.748,22975900,366,100,0
sh513130,09:30:17,1767835819888,5691.23,0.8981,3.2117,0.743,0.741,0.2699,6964300,5174645,0.743,0.742,26960600,0.741,38659100,0.74,56075500,0.739,41209500,0.738,38914900,0.743,4790200,0.744,20967400,0.745,30379000,0.746,29595900,0.747,22727700,261,100,0
sh513130,09:30:20,1767835822897,5685.06,0.8981,2.6446,0.743,0.741,0.2699,883500,656440,0.743,0.742,27134700,0.741,36971500,0.74,58504100,0.739,42294100,0.738,39140900,0.743,14117600,0.744,21487300,0.745,30760500,0.746,27982800,0.747,24907600,392,100,0
sh513130,09:30:23,1767835824882,5681.84,0.8981,3.3843,0.742,0.741,0.135,2025100,1503318,0.7423,0.742,20416100,0.741,34039100,0.74,63205900,0.739,43516700,0.738,39368400,0.743,19589200,0.744,21668400,0.745,31761100,0.746,28078200,0.747,24903400,218,100,0
sh513130,09:30:26,1767835828905,5686.52,0.8981,4.7317,0.743,0.7397,0.4461,3617300,2686960,0.7428,0.742,19980800,0.741,35056000,0.74,62087500,0.739,44889700,0.738,39493400,0.743,21210800,0.744,22281700,0.745,32016200,0.746,29178200,0.747,25519700,188,100,0
sh513130,09:30:29,1767835831914,5687.85,0.8981,3.6862,0.743,0.7397,0.4461,4707200,3493172,0.7421,0.742,16622000,0.741,28232000,0.74,59303400,0.739,49189800,0.738,41857800,0.743,29136100,0.744,20499700,0.745,30490800,0.746,27413600,0.747,27175100,1378,100,0
sh513130,09:30:32,1767835833924,5687.98,0.8981,4.3586,0.742,0.7397,0.3109,1754100,1302079,0.7423,0.742,15871600,0.741,27256300,0.74,53436800,0.739,48316100,0.738,42954600,0.743,24678200,0.744,21062600,0.745,31250300,0.746,27426100,0.747,27984800,1299,100,0
sh513130,09:30:35,1767835836919,5691.64,0.8981,5.1594,0.743,0.7397,0.4461,15652600,11614756,0.742,0.742,2524900,0.741,27444300,0.74,57557200,0.739,42402500,0.738,47994200,0.743,21702600,0.744,21848000,0.745,29264400,0.746,27828400,0.747,28467900,420,100,0
sh513130,09:30:38,1767835840917,5692.85,0.8981,5.2189,0.743,0.7397,0.4461,3372200,2502800,0.7422,0.741,25813900,0.74,61042600,0.739,45419600,0.738,49045900,0.737,41584500,0.742,3637300,0.743,27175400,0.744,24383000,0.745,31561200,0.746,28091400,439,100,0
