symbol,tx_server_time,tx_local_time,index_price,fx_rate,sentiment,price,iopv,premium_rate,tick_vol,tick_amt,tick_vwap,bp1,bv1,bp2,bv2,bp3,bv3,bp4,bv4,bp5,bv5,sp1,sv1,sp2,sv2,sp3,sv3,sp4,sv4,sp5,sv5,idx_delay_ms,fut_delay_ms,data_flags,fut_price,fut_mid,fut_imb,fut_delta_vol,fut_pct
sz159920,09:30:03,1767749407503,26607.7,0.8963,1.4463,1.613,1.6156,-0.1609,0,0,1.613,1.613,92700,1.612,1146100,1.611,41300,1.61,225000,1.609,251600,1.614,1362000,1.615,1757700,1.616,1325100,1.617,4095700,1.618,4014800,518,100,1,26657.84,26658.0,0.14,5,-0.23
sz159920,09:30:06,1767749409489,26607.73,0.8963,1.4641,1.612,1.6156,-0.2228,160900,259542,1.6131,1.612,1150300,1.611,48500,1.61,1276100,1.609,1138900,1.608,1940400,1.613,964600,1.614,4577000,1.615,1758500,1.616,4325800,1.617,4097700,294,100,0,26659.1,26662.5,0.43,2,-0.22
sz159920,09:30:09,1767749412494,26599.26,0.8963,3.6065,1.613,1.6156,-0.1609,1232100,1986210,1.6121,1.612,2500,1.611,44800,1.61,1287600,1.609,1139500,1.608,1940400,1.613,908200,1.614,3091300,1.615,1801400,1.616,4325100,1.617,4097700,44,100,0,26650.8,26655.5,0.11,5,-0.26
sz159920,09:30:12,1767749415492,26600.2,0.8963,1.1594,1.611,1.6156,-0.2847,1059400,1709603,1.6137,1.612,2700,1.611,50400,1.61,1309000,1.609,1145600,1.608,1940400,1.613,218600,1.614,3694500,1.615,801400,1.616,3108800,1.617,3097700,299,100,0,26646.65,26649.0,-0.6,9,-0.27
sz159920,09:30:15,1767749417492,26592.55,0.8963,0.8923,1.612,1.615,-0.1858,1052400,1697451,1.6129,1.611,26600,1.61,1311700,1.609,1145600,1.608,1721400,1.607,1397000,1.612,3800,1.613,552300,1.614,774900,1.615,801400,1.616,3108600,298,100,0,26655.5,26658.0,0.5,14,-0.24
sz159920,09:30:18,1767749420500,26598.32,0.8963,3.0111,1.612,1.615,-0.1858,71200,114754,1.6117,1.611,5400,1.61,1311700,1.609,1146300,1.608,1746400,1.607,1397000,1.612,67400,1.613,493900,1.614,775700,1.615,800700,1.616,3108600,99,100,0,26648.3,26649.0,0.33,9,-0.26
sz159920,09:30:21,1767749424470,26584.22,0.8963,2.8716,1.611,1.615,-0.2477,5400,8699,1.6109,1.61,314600,1.609,1146300,1.608,1746400,1.607,2397000,1.606,377700,1.612,70000,1.613,509200,1.614,949800,1.615,3800700,1.616,3108600,10,100,0,26639.3,26640.0,0.43,27,-0.3
sz159920,09:30:24,1767749427477,26583.46,0.8963,5.0171,1.61,1.615,-0.3096,1345800,2167748,1.6108,1.609,3448900,1.608,1749100,1.607,2397000,1.606,381700,1.605,249000,1.611,956800,1.612,71100,1.613,509200,1.614,951100,1.615,3802700,910,100,0,26636.68,26637.5,0.47,1,-0.31
sz159920,09:30:27,1767749430476,26572.83,0.8963,4.3575,1.61,1.615,-0.3096,957600,1542665,1.611,1.609,1138500,1.608,4049100,1.607,2397100,1.606,381700,1.605,311000,1.611,7000,1.612,947500,1.613,509200,1.614,651100,1.615,3553900,95,100,0,26622.18,26622.0,0.6,26,-0.36
sz159920,09:30:30,1767749432481,26563.48,0.8963,2.8548,1.61,1.6145,-0.2787,69400,111736,1.61,1.609,139000,1.608,3762900,1.607,2397100,1.606,1673800,1.605,312200,1.61,2249200,1.611,938300,1.612,950000,1.613,509500,1.614,189200,98,100,0,26620.92,26621.0,-0.67,6,-0.37
sz159920,09:30:33,1767749435471,26561.71,0.8963,1.3991,1.608,1.6145,-0.4026,140000,225261,1.609,1.608,3765400,1.607,2397800,1.606,1673900,1.605,312200,1.604,49300,1.61,2181400,1.611,883500,1.612,988300,1.613,509800,1.614,3192600,187,100,0,26624.44,26625.0,-0.6,6,-0.35
sz159920,09:30:36,1767749440455,26573.98,0.8963,2.543,1.61,1.6145,-0.2787,2105300,3389335,1.6099,1.609,5000,1.608,3686000,1.607,2447800,1.606,1683900,1.605,312200,1.61,2316300,1.611,883500,1.612,1012100,1.613,508800,1.614,3192600,92,100,0,26629.83,26631.5,-0.33,4,-0.33
sz159920,09:30:39,1767749441471,26573.98,0.8963,4.641,1.61,1.6145,-0.2787,100500,161805,1.61,1.609,1006700,1.608,3682100,1.607,2447800,1.606,683900,1.605,312200,1.61,2215800,1.611,1186100,1.612,918700,1.613,508800,1.614,3192600,284,100,0,26629.96,26631.5,0.0,5,-0.33
sz159920,09:30:42,1767749443479,26572.09,0.8963,4.6769,1.609,1.6145,-0.3407,1199900,1931795,1.61,1.609,962300,1.608,4861500,1.607,2447800,1.606,683900,1.605,312300,1.61,1065200,1.611,1186100,1.612,918700,1.613,496800,1.614,3192600,279,100,0,26627.2,26628.0,-0.33,4,-0.34
sz159920,09:30:45,1767749447482,26571.68,0.8963,5.4414,1.609,1.6145,-0.3407,264400,425683,1.61,1.609,966400,1.608,4961500,1.607,2447800,1.606,693900,1.605,312300,1.61,816300,1.611,1186100,1.612,918700,1.613,496800,1.614,3192600,291,100,0,26631.35,26633.0,0.27,9,-0.33
sz159920,09:30:48,1767749451467,26570.81,0.8963,4.2595,1.61,1.6131,-0.1922,300,483,1.61,1.609,1264500,1.608,4961700,1.607,2447800,1.606,401800,1.605,321600,1.61,808700,1.611,1186100,1.612,918700,1.613,496800,1.614,3192600,281,100,0,26620.67,26621.0,0.64,8,-0.37
sz159920,09:30:51,1767749453454,26560.44,0.8963,2.0154,1.61,1.6131,-0.1922,32300,51992,1.6097,1.609,12700,1.608,4924000,1.607,2447800,1.606,1411800,1.605,321600,1.61,806000,1.611,1183500,1.612,918700,1.613,3496800,1.614,3192600,268,100,0,26614.1,26613.0,0.5,5,-0.39
sz159920,09:30:54,1767749456462,26551.15,0.8963,2.3112,1.609,1.6131,-0.2542,62200,100080,1.609,1.608,2665200,1.607,4747800,1.606,1412500,1.605,321600,1.604,49400,1.609,772400,1.61,687300,1.611,883500,1.612,918700,1.613,3000300,30,100,0,26609.92,26610.0,0.14,10,-0.41
sz159920,09:30:57,1767749460450,26552.99,0.8963,4.779,1.609,1.6131,-0.2542,255100,410452,1.609,1.608,1735300,1.607,4747800,1.606,1412500,1.605,321600,1.604,49400,1.609,521400,1.61,287300,1.611,913500,1.612,915000,1.613,3000300,78,100,0,26612.3,26613.5,0.33,32,-0.4
sz159920,09:31:00,1767749462448,26547.61,0.8963,4.4067,1.609,1.6131,-0.2542,1025600,1650200,1.609,1.609,35600,1.608,3911100,1.607,2447800,1.606,1422500,1.605,1361600,1.61,2098600,1.611,913500,1.612,915000,1.613,3000300,1.614,192600,64,100,0,26605.9,26606.5,0.0,32,-0.42
sz159920,09:31:03,1767749466449,26536.34,0.8963,4.8685,1.609,1.6138,-0.2974,86400,139017,1.609,1.608,627400,1.607,4747800,1.606,1714600,1.605,1363600,1.604,49400,1.609,2211500,1.61,319700,1.611,913500,1.612,39200,1.613,3000300,71,100,0,26599.6,26599.5,0.33,4,-0.45
sz159920,09:31:06,1767749469461,26542.86,0.8963,3.6553,1.609,1.6138,-0.2974,30900,49718,1.609,1.608,653200,1.607,4747800,1.606,1714600,1.605,1363600,1.604,49400,1.609,2221200,1.61,541100,1.611,913500,1.612,3039200,1.613,3010300,268,100,0,26601.4,26601.0,0.2,2,-0.44
sz159920,09:31:09,1767749471458,26537.78,0.8963,3.7712,1.609,1.6138,-0.2974,1039900,1673199,1.609,1.608,947300,1.607,4747800,1.606,1714600,1.605,1363600,1.604,49400,1.609,1188500,1.61,541100,1.611,908000,1.612,39200,1.613,3010300,263,100,0,26599.56,26599.0,-0.6,17,-0.45
sz159920,09:31:06,1767749472461,26539.92,0.8963,4.65,1.609,1.6138,-0.2974,0,0,1.609,1.608,653200,1.607,4747800,1.606,1714600,1.605,1363600,1.604,49400,1.609,2221200,1.61,541100,1.611,913500,1.612,3039200,1.613,3010300,96,100,1,26600.55,26602.0,-0.25,8,-0.44
