symbol,tx_server_time,tx_local_time,index_price,fx_rate,sentiment,price,iopv,premium_rate,tick_vol,tick_amt,tick_vwap,bp1,bv1,bp2,bv2,bp3,bv3,bp4,bv4,bp5,bv5,sp1,sv1,sp2,sv2,sp3,sv3,sp4,sv4,sp5,sv5,idx_delay_ms,fut_delay_ms,data_flags
sh513130,09:32:23,1764552745680,5611.25,0.9083,2.4031,0.738,0.7386,-0.0812,999700,737765,0.738,0.737,60696200,0.736,63507100,0.735,65170100,0.734,44340800,0.733,31785100,0.738,13972000,0.739,68823300,0.74,59937700,0.741,36925700,0.742,26641600,2,100,0
sh513130,09:32:26,1764552747554,5611.53,0.9083,4.2527,0.738,0.7386,-0.0812,452200,333716,0.738,0.737,68827300,0.736,63663300,0.735,65713700,0.734,37048700,0.733,31785100,0.738,9040900,0.739,78533900,0.74,60074000,0.741,36981400,0.742,26641600,1025,100,0
sh513130,09:32:29,1764552750539,5609.72,0.9083,4.7949,0.738,0.7386,-0.0812,290900,214613,0.7378,0.737,49756000,0.736,62893300,0.735,77844500,0.734,44489000,0.733,31785100,0.738,16121900,0.739,69845000,0.74,60174000,0.741,37181400,0.742,26711100,87,100,0
sh513130,09:32:32,1764552752527,5612.11,0.9083,6.1447,0.738,0.7386,-0.0812,244500,180441,0.738,0.737,71622400,0.736,63959500,0.735,65070900,0.734,38109000,0.733,31785100,0.738,12133500,0.739,82599900,0.74,58976500,0.741,37181400,0.742,26811100,30,100,0
sh513130,09:32:32,1764552754564,5610.0,0.9083,8.5936,0.738,0.7386,-0.0812,244500,180441,0.738,0.737,71622400,0.736,63959500,0.735,65070900,0.734,38109000,0.733,31785100,0.738,12133500,0.739,82599900,0.74,58976500,0.741,37181400,0.742,26811100,47,100,0
sh513130,09:32:35,1764552758559,5611.2,0.9083,5.346,0.738,0.7386,-0.0812,9384100,6925456,0.738,0.738,1026300,0.737,73914100,0.736,63081200,0.735,65865900,0.734,38109000,0.739,82932500,0.74,58863100,0.741,37181400,0.742,26811100,0.743,20231600,49,100,0
sh513130,09:32:38,1764552759557,5611.2,0.9083,5.6781,0.738,0.738,0.0,3050400,2251151,0.738,0.738,37530500,0.737,79427200,0.736,63646600,0.735,56127900,0.734,36974600,0.739,70242400,0.74,58142500,0.741,37201400,0.742,26811700,0.743,20294500,1047,100,0
sh513130,09:32:41,1764552762554,5616.7,0.9083,6.536,0.738,0.7386,-0.0812,92800,68503,0.7382,0.738,64362300,0.737,71414100,0.736,51745400,0.735,55156800,0.734,36994300,0.739,45298000,0.74,66520900,0.741,49399300,0.742,41864000,0.743,20285400,29,100,0
sh513130,09:32:44,1764552765566,5618.36,0.9083,3.6504,0.738,0.7386,-0.0812,110300,81441,0.7384,0.738,63831900,0.737,71416700,0.736,52152700,0.735,55170300,0.734,37009100,0.739,37032000,0.74,67556200,0.741,53249000,0.742,41864000,0.743,23269300,659,100,0
sh513130,09:32:47,1764552768555,5619.79,0.9083,3.156,0.739,0.7393,-0.0406,276400,204220,0.7389,0.738,66006000,0.737,71445400,0.736,52311300,0.735,56165100,0.734,37030700,0.739,39902500,0.74,67191500,0.741,54414300,0.742,41924700,0.743,23319300,1503,100,0
sh513130,09:32:50,1764552771560,5619.85,0.9083,4.426,0.739,0.7393,-0.0406,213500,157746,0.7389,0.738,77401300,0.737,70507900,0.736,52304500,0.735,50365500,0.734,37029600,0.739,41110300,0.74,67191500,0.741,54414300,0.742,41925700,0.743,23319300,146,100,0
sh513130,09:32:53,1764552774573,5617.43,0.9083,2.2786,0.739,0.7393,-0.0406,836900,618045,0.7385,0.738,60762100,0.737,75735100,0.736,65252000,0.735,59605700,0.734,37054700,0.739,78923300,0.74,58851100,0.741,42696700,0.742,31053600,0.743,23319300,75,100,0
