symbol,tx_server_time,tx_local_time,bd_server_time,bd_local_time,price,iopv,premium_rate,index_price,fx_rate,sentiment,tick_vol,tick_amt,tick_vwap,interval_s,bp1,bv1,bp2,bv2,bp3,bv3,bp4,bv4,bp5,bv5,sp1,sv1,sp2,sv2,sp3,sv3,sp4,sv4,sp5,sv5
sh513130,09:30:02,1765330207113,09:31:06,1765330206697,0.731,0.7293,0.2331,5552.8,0.9072,4.3632,0,0,0.731,0.0,0.730,27038800,0.729,17387700,0.728,33019000,0.727,31977500,0.726,31976700,0.731,13040700,0.732,16531200,0.733,19417400,0.734,24867500,0.735,23888200
sh513130,09:30:05,1765330208081,09:31:06,1765330207536,0.731,0.73,0.137,5552.8,0.9072,3.7374,1244500,909154,0.7305,0.968,0.730,31147700,0.729,17966500,0.728,38075300,0.727,41327400,0.726,33301800,0.731,13630100,0.732,20312100,0.733,26851700,0.734,25107800,0.735,24377500
sh513130,09:30:05,1765330209092,09:31:08,1765330208505,0.731,0.73,0.137,5554.66,0.9072,4.0184,0,0,0.731,1.011,0.730,31147700,0.729,17966500,0.728,38075300,0.727,41327400,0.726,33301800,0.731,13630100,0.732,20312100,0.733,26851700,0.734,25107800,0.735,24377500
sh513130,09:30:05,1765330210085,09:31:08,1765330208505,0.731,0.73,0.137,5554.66,0.9072,2.8229,0,0,0.731,0.994,0.730,31147700,0.729,17966500,0.728,38075300,0.727,41327400,0.726,33301800,0.731,13630100,0.732,20312100,0.733,26851700,0.734,25107800,0.735,24377500
sh513130,09:30:08,1765330211092,09:31:10,1765330210543,0.73,0.73,0.0,5553.21,0.9072,2.2276,3090500,2256394,0.7301,1.007,0.730,26885200,0.729,19017700,0.728,44456400,0.727,45569600,0.726,35004200,0.731,15565700,0.732,26873800,0.733,36094800,0.734,26207500,0.735,22977800
sh513130,09:30:08,1765330212084,09:31:10,1765330211836,0.73,0.73,0.0,5553.21,0.9072,3.4089,0,0,0.73,0.992,0.730,26885200,0.729,19017700,0.728,44456400,0.727,45569600,0.726,35004200,0.731,15565700,0.732,26873800,0.733,36094800,0.734,26207500,0.735,22977800
sh513130,09:30:08,1765330213080,09:31:12,1765330212467,0.73,0.73,0.0,5554.79,0.9072,3.0408,0,0,0.73,0.996,0.730,26885200,0.729,19017700,0.728,44456400,0.727,45569600,0.726,35004200,0.731,15565700,0.732,26873800,0.733,36094800,0.734,26207500,0.735,22977800
sh513130,09:30:08,1765330214082,09:31:12,1765330213975,0.73,0.73,0.0,5554.79,0.9072,2.9646,0,0,0.73,1.002,0.730,26885200,0.729,19017700,0.728,44456400,0.727,45569600,0.726,35004200,0.731,15565700,0.732,26873800,0.733,36094800,0.734,26207500,0.735,22977800
sh513130,09:30:11,1765330215091,09:31:14,1765330214503,0.731,0.7307,0.0411,5553.3,0.9072,2.4499,1132300,827230,0.7306,1.009,0.730,26016300,0.729,23637200,0.728,46915800,0.727,45674000,0.726,35443700,0.731,17249300,0.732,29516200,0.733,39395200,0.734,26209500,0.735,22170800
sh513130,09:30:11,1765330216083,09:31:14,1765330214503,0.731,0.7307,0.0411,5553.3,0.9072,2.584,0,0,0.731,0.993,0.730,26016300,0.729,23637200,0.728,46915800,0.727,45674000,0.726,35443700,0.731,17249300,0.732,29516200,0.733,39395200,0.734,26209500,0.735,22170800
