symbol,tx_server_time,tx_local_time,bd_server_time,bd_local_time,price,iopv,premium_rate,index_price,fx_rate,sentiment,tick_vol,tick_amt,tick_vwap,interval_s,bp1,bv1,bp2,bv2,bp3,bv3,bp4,bv4,bp5,bv5,sp1,sv1,sp2,sv2,sp3,sv3,sp4,sv4,sp5,sv5,idx_delay_ms,data_flags
sh513130,09:30:05,1765762207259,09:31:06,1765762207247,0.733,0.7324,0.0819,5569.2,0.9059,0.8035,0,0,0.733,0.0,0.732,19485700,0.731,26166900,0.73,61146100,0.729,42455600,0.728,32595500,0.733,20734700,0.734,16331600,0.735,11968800,0.736,15316200,0.737,15609800,12,0
sh513130,09:30:05,1765762208223,09:31:06,1765762207247,0.733,0.7324,0.0819,5569.2,0.9059,-0.403,0,0,0.733,0.965,0.732,19485700,0.731,26166900,0.73,61146100,0.729,42455600,0.728,32595500,0.733,20734700,0.734,16331600,0.735,11968800,0.736,15316200,0.737,15609800,976,0
sh513130,09:30:05,1765762209224,09:31:06,1765762208772,0.733,0.7324,0.0819,5569.2,0.9059,-0.8283,0,0,0.733,1.0,0.732,19485700,0.731,26166900,0.73,61146100,0.729,42455600,0.728,32595500,0.733,20734700,0.734,16331600,0.735,11968800,0.736,15316200,0.737,15609800,452,0
sh513130,09:30:07,1765762210233,09:31:06,1765762208772,0.732,0.7324,-0.0546,5569.2,0.9059,1.3795,11982500,8771667,0.732,1.009,0.732,11284200,0.731,27623600,0.73,65999100,0.729,48556700,0.728,36272200,0.733,27516600,0.734,24428800,0.735,15385600,0.736,15428900,0.737,15794800,1461,0
sh513130,09:30:07,1765762211235,09:31:08,1765762210787,0.732,0.7324,-0.0546,5568.37,0.9059,3.5733,0,0,0.732,1.003,0.732,11284200,0.731,27623600,0.73,65999100,0.729,48556700,0.728,36272200,0.733,27516600,0.734,24428800,0.735,15385600,0.736,15428900,0.737,15794800,448,0
sh513130,09:30:07,1765762212237,09:31:08,1765762210787,0.732,0.7324,-0.0546,5568.37,0.9059,3.4092,0,0,0.732,1.002,0.732,11284200,0.731,27623600,0.73,65999100,0.729,48556700,0.728,36272200,0.733,27516600,0.734,24428800,0.735,15385600,0.736,15428900,0.737,15794800,1450,0
sh513130,09:30:10,1765762213233,09:31:10,1765762212953,0.732,0.7317,0.041,5565.45,0.9059,3.2894,15874300,11622430,0.7322,0.996,0.732,733000,0.731,30066400,0.73,69048200,0.729,51557000,0.728,36942300,0.733,32418100,0.734,28610800,0.735,20024200,0.736,18923100,0.737,15983800,280,0
sh513130,09:30:10,1765762214238,09:31:10,1765762212953,0.732,0.7317,0.041,5565.45,0.9059,3.2536,0,0,0.732,1.005,0.732,733000,0.731,30066400,0.73,69048200,0.729,51557000,0.728,36942300,0.733,32418100,0.734,28610800,0.735,20024200,0.736,18923100,0.737,15983800,1285,0
sh513130,09:30:10,1765762215241,09:31:12,1765762215114,0.732,0.7317,0.041,5566.27,0.9059,2.8986,0,0,0.732,1.003,0.732,733000,0.731,30066400,0.73,69048200,0.729,51557000,0.728,36942300,0.733,32418100,0.734,28610800,0.735,20024200,0.736,18923100,0.737,15983800,127,0
sh513130,09:30:13,1765762216238,09:31:14,1765762215830,0.731,0.7317,-0.0957,5566.3,0.9059,4.8802,3605000,2638189,0.7318,0.997,0.731,29463200,0.73,69969100,0.729,52124000,0.728,37731900,0.727,29072900,0.732,918300,0.733,31731500,0.734,28628000,0.735,21584200,0.736,18982200,408,0
sh513130,09:30:13,1765762217237,09:31:16,1765762217025,0.731,0.7317,-0.0957,5567.52,0.9059,2.4475,0,0,0.731,0.999,0.731,29463200,0.73,69969100,0.729,52124000,0.728,37731900,0.727,29072900,0.732,918300,0.733,31731500,0.734,28628000,0.735,21584200,0.736,18982200,212,0
sh513130,09:30:17,1765762218249,09:31:16,1765762217284,0.732,0.7317,0.041,5567.52,0.9059,2.2542,5023400,3674283,0.7314,1.013,0.731,27440700,0.73,72393700,0.729,53493600,0.728,41062800,0.727,29396900,0.732,10777500,0.733,28857600,0.734,29670600,0.735,21814600,0.736,19172100,965,0
sh513130,09:30:17,1765762219242,09:31:18,1765762218511,0.732,0.7317,0.041,5565.61,0.9059,1.2197,0,0,0.732,0.992,0.731,27440700,0.73,72393700,0.729,53493600,0.728,41062800,0.727,29396900,0.732,10777500,0.733,28857600,0.734,29670600,0.735,21814600,0.736,19172100,731,0
sh513130,09:30:17,1765762220253,09:31:18,1765762219450,0.732,0.7317,0.041,5565.61,0.9059,3.639,0,0,0.732,1.011,0.731,27440700,0.73,72393700,0.729,53493600,0.728,41062800,0.727,29396900,0.732,10777500,0.733,28857600,0.734,29670600,0.735,21814600,0.736,19172100,803,0
sh513130,09:30:19,1765762221254,09:31:20,1765762220488,0.732,0.7317,0.041,5566.38,0.9059,3.9048,2394600,1752694,0.7319,1.001,0.731,28251000,0.73,73246500,0.729,53687300,0.728,42580200,0.727,29806000,0.732,28614900,0.733,26287000,0.734,29725300,0.735,21857500,0.736,19319400,766,0
sh513130,09:30:19,1765762222247,09:31:20,1765762221629,0.732,0.7317,0.041,5566.38,0.9059,2.5974,0,0,0.732,0.993,0.731,28251000,0.73,73246500,0.729,53687300,0.728,42580200,0.727,29806000,0.732,28614900,0.733,26287000,0.734,29725300,0.735,21857500,0.736,19319400,618,0
sh513130,09:30:19,1765762223246,09:31:22,1765762222523,0.732,0.7317,0.041,5568.81,0.9059,2.473,0,0,0.732,0.999,0.731,28251000,0.73,73246500,0.729,53687300,0.728,42580200,0.727,29806000,0.732,28614900,0.733,26287000,0.734,29725300,0.735,21857500,0.736,19319400,723,0
sh513130,09:30:22,1765762224252,09:31:22,1765762223796,0.731,0.7317,-0.0957,5568.81,0.9059,4.2522,2400800,1757333,0.732,1.007,0.731,38021100,0.73,63897500,0.729,59362700,0.728,49438200,0.727,30003900,0.732,33558500,0.733,29606700,0.734,34853500,0.735,21984500,0.736,19439400,456,0
sh513130,09:30:22,1765762225252,09:31:24,1765762224521,0.731,0.7317,-0.0957,5571.16,0.9059,4.3899,0,0,0.731,1.0,0.731,38021100,0.73,63897500,0.729,59362700,0.728,49438200,0.727,30003900,0.732,33558500,0.733,29606700,0.734,34853500,0.735,21984500,0.736,19439400,731,0
