symbol,tx_server_time,tx_local_time,bd_server_time,bd_local_time,price,iopv,premium_rate,index_price,fx_rate,sentiment,tick_vol,tick_amt,tick_vwap,interval_s,bp1,bv1,bp2,bv2,bp3,bv3,bp4,bv4,bp5,bv5,sp1,sv1,sp2,sv2,sp3,sv3,sp4,sv4,sp5,sv5,idx_delay_ms,fut_delay_ms,data_flags
sh513130,09:30:05,1767058208226,09:31:06,1767058207751,0.718,0.717,0.1395,5506.56,0.9008,2.4165,0,0,0.718,0.0,0.717,5643000,0.716,15129800,0.715,23271000,0.714,26292100,0.713,26921400,0.718,19555800,0.719,24429200,0.720,28983200,0.721,20098600,0.722,20244500,475,0,1
sh513130,09:30:05,1767058209211,09:31:06,1767058207751,0.718,0.717,0.1395,5506.56,0.9008,2.4159,0,0,0.718,0.984,0.717,5643000,0.716,15129800,0.715,23271000,0.714,26292100,0.713,26921400,0.718,19555800,0.719,24429200,0.720,28983200,0.721,20098600,0.722,20244500,1459,0,0
sh513130,09:30:05,1767058210220,09:31:08,1767058209809,0.718,0.717,0.1395,5508.11,0.9008,2.3694,0,0,0.718,1.009,0.717,5643000,0.716,15129800,0.715,23271000,0.714,26292100,0.713,26921400,0.718,19555800,0.719,24429200,0.720,28983200,0.721,20098600,0.722,20244500,410,0,0
sh513130,09:30:08,1767058211222,09:31:08,1767058209809,0.718,0.717,0.1395,5508.11,0.9008,2.3238,1140000,817608,0.7172,1.003,0.717,6349600,0.716,17770900,0.715,25776900,0.714,28278400,0.713,26957100,0.718,23497100,0.719,26845900,0.720,30580600,0.721,20112500,0.722,21344700,1413,0,0
sh513130,09:30:08,1767058212223,09:31:10,1767058211860,0.718,0.717,0.1395,5507.22,0.9008,5.9668,0,0,0.718,1.001,0.717,6349600,0.716,17770900,0.715,25776900,0.714,28278400,0.713,26957100,0.718,23497100,0.719,26845900,0.720,30580600,0.721,20112500,0.722,21344700,363,0,0
sh513130,09:30:08,1767058213229,09:31:10,1767058211860,0.718,0.717,0.1395,5507.22,0.9008,4.5813,0,0,0.718,1.005,0.717,6349600,0.716,17770900,0.715,25776900,0.714,28278400,0.713,26957100,0.718,23497100,0.719,26845900,0.720,30580600,0.721,20112500,0.722,21344700,1368,0,0
sh513130,09:30:11,1767058214232,09:31:12,1767058214021,0.718,0.717,0.1395,5507.98,0.9008,3.1916,2535900,1818579,0.7171,1.003,0.717,5604200,0.716,24330300,0.715,27893600,0.714,28282500,0.713,20950700,0.718,20674200,0.719,26845500,0.720,30635200,0.721,19398000,0.722,21532900,210,0,0
sh513130,09:30:11,1767058215239,09:31:12,1767058214021,0.718,0.717,0.1395,5507.98,0.9008,3.132,0,0,0.718,1.007,0.717,5604200,0.716,24330300,0.715,27893600,0.714,28282500,0.713,20950700,0.718,20674200,0.719,26845500,0.720,30635200,0.721,19398000,0.722,21532900,1217,0,0
sh513130,09:30:11,1767058216251,09:31:14,1767058216189,0.718,0.717,0.1395,5509.44,0.9008,3.132,0,0,0.718,1.012,0.717,5604200,0.716,24330300,0.715,27893600,0.714,28282500,0.713,20950700,0.718,20674200,0.719,26845500,0.720,30635200,0.721,19398000,0.722,21532900,61,0,0
sh513130,09:30:14,1767058217238,09:31:14,1767058216189,0.717,0.717,0.0,5509.44,0.9008,7.0781,1490100,1068895,0.7173,0.987,0.717,6098000,0.716,26070000,0.715,29775100,0.714,28344700,0.713,20125500,0.718,19372100,0.719,25959700,0.720,31105600,0.721,20979100,0.722,21733500,1048,0,0
