symbol,tx_server_time,tx_local_time,bd_server_time,bd_local_time,price,iopv,premium_rate,index_price,fx_rate,sentiment,tick_vol,tick_amt,tick_vwap,interval_s,bp1,bv1,bp2,bv2,bp3,bv3,bp4,bv4,bp5,bv5,sp1,sv1,sp2,sv2,sp3,sv3,sp4,sv4,sp5,sv5,fut_local_time,fut_tick_time,fut_price,fut_mid,fut_imb,fut_delta_vol,fut_pct
sz159920,10:05:54,1764209158608,,0,1.598,1.6042,-0.3865,0.0,0.9093,0.0,0,0,1.598,0.0,1.598,11513600,1.597,11108700,1.596,9099200,1.595,1624800,1.594,1486300,1.599,856900,1.6,7808600,1.601,7680400,1.602,5306900,1.603,5207100,10:05:58.601,10:05:55,26059.72,26062.5,-0.5,0,0.5
sz159920,10:05:57,1764209159357,,0,1.599,1.6038,-0.2993,0.0,0.9093,0.0,8700,13908,1.5986,0.749,1.598,11596100,1.597,11113700,1.596,9102800,1.595,1624800,1.594,1486300,1.599,2581900,1.6,10808600,1.601,8680400,1.602,5306900,1.603,2207100,10:05:59.348,10:05:55,26059.72,26062.5,-0.5,0,0.5
sz159920,10:05:57,1764209160357,,0,1.599,1.6038,-0.2993,0.0,0.9093,0.1636,0,0,1.599,1.001,1.598,11596100,1.597,11113700,1.596,9102800,1.595,1624800,1.594,1486300,1.599,2581900,1.6,10808600,1.601,8680400,1.602,5306900,1.603,2207100,10:06:00.350,10:05:55,26059.72,26062.5,-0.5,0,0.5
sz159920,10:05:57,1764209161358,,0,1.599,1.6038,-0.2993,0.0,0.9093,2.0299,0,0,1.599,1.001,1.598,11596100,1.597,11113700,1.596,9102800,1.595,1624800,1.594,1486300,1.599,2581900,1.6,10808600,1.601,8680400,1.602,5306900,1.603,2207100,10:06:01.353,10:06:00,26059.99,26059.0,-0.6,0,0.5
sz159920,10:06:00,1764209162361,,0,1.599,1.6038,-0.2993,0.0,0.9093,1.836,36000,57564,1.599,1.003,1.598,11596100,1.597,11113700,1.596,9102800,1.595,1624800,1.594,1486300,1.599,2745900,1.6,10840600,1.601,8680400,1.602,5348500,1.603,2207100,10:06:02.353,10:06:00,26059.99,26059.0,-0.6,0,0.5
sz159920,10:06:00,1764209163363,10:07:02,1764209162703,1.599,1.6038,-0.2993,26066.03,0.9093,2.646,0,0,1.599,1.002,1.598,11596100,1.597,11113700,1.596,9102800,1.595,1624800,1.594,1486300,1.599,2745900,1.6,10840600,1.601,8680400,1.602,5348500,1.603,2207100,10:06:03.353,10:06:00,26059.99,26059.0,-0.6,0,0.5
sz159920,10:06:00,1764209164369,10:07:03,1764209163897,1.599,1.6038,-0.2993,26066.03,0.9093,1.6949,0,0,1.599,1.006,1.598,11596100,1.597,11113700,1.596,9102800,1.595,1624800,1.594,1486300,1.599,2745900,1.6,10840600,1.601,8680400,1.602,5348500,1.603,2207100,10:06:04.365,10:06:00,26059.99,26059.0,-0.6,0,0.5
sz159920,10:06:00,1764209165374,10:07:04,1764209164788,1.599,1.6038,-0.2993,26065.44,0.9093,1.386,0,0,1.599,1.006,1.598,11596100,1.597,11113700,1.596,9102800,1.595,1624800,1.594,1486300,1.599,2745900,1.6,10840600,1.601,8680400,1.602,5348500,1.603,2207100,10:06:05.369,10:06:04,26061.77,26061.5,0.0,0,0.5
sz159920,10:06:03,1764209166400,10:07:05,1764209166095,1.598,1.6038,-0.3616,26065.44,0.9093,1.3175,10000,15980,1.598,1.026,1.598,11586100,1.597,11113700,1.596,9102800,1.595,1624800,1.594,1486300,1.599,807900,1.6,7842600,1.601,7889400,1.602,5348500,1.603,5207100,10:06:06.400,10:06:04,26061.77,26061.5,0.0,0,0.5
sz159920,10:06:03,1764209167379,10:07:06,1764209166711,1.598,1.6038,-0.3616,26069.03,0.9093,3.2996,0,0,1.598,0.979,1.598,11586100,1.597,11113700,1.596,9102800,1.595,1624800,1.594,1486300,1.599,807900,1.6,7842600,1.601,7889400,1.602,5348500,1.603,5207100,10:06:07.375,10:06:04,26061.77,26061.5,0.0,0,0.5
sz159920,10:06:03,1764209168374,10:07:07,1764209168245,1.598,1.6038,-0.3616,26069.03,0.9093,3.5624,0,0,1.598,0.995,1.598,11586100,1.597,11113700,1.596,9102800,1.595,1624800,1.594,1486300,1.599,807900,1.6,7842600,1.601,7889400,1.602,5348500,1.603,5207100,10:06:08.368,10:06:07,26067.11,26067.0,0.6,0,0.52
sz159920,10:06:06,1764209169386,10:07:08,1764209168727,1.598,1.6038,-0.3616,26068.83,0.9093,3.2453,0,0,1.598,1.012,1.598,11790300,1.597,11113500,1.596,8802800,1.595,1624800,1.594,1486300,1.599,807300,1.6,7847600,1.601,7889400,1.602,5348500,1.603,5207100,10:06:08.875,10:06:08,26068.0,26065.5,0.0,1,0.53
sz159920,10:06:06,1764209170409,10:07:09,1764209169893,1.598,1.6038,-0.3616,26068.83,0.9093,3.6857,0,0,1.598,1.023,1.598,11790300,1.597,11113500,1.596,8802800,1.595,1624800,1.594,1486300,1.599,807300,1.6,7847600,1.601,7889400,1.602,5348500,1.603,5207100,10:06:10.397,10:06:09,26067.08,26066.0,-0.33,1,0.52
sz159920,10:06:06,1764209171439,10:07:10,1764209170768,1.598,1.6038,-0.3616,26070.01,0.9093,4.8277,0,0,1.598,1.03,1.598,11790300,1.597,11113500,1.596,8802800,1.595,1624800,1.594,1486300,1.599,807300,1.6,7847600,1.601,7889400,1.602,5348500,1.603,5207100,10:06:11.431,10:06:09,26067.08,26066.0,-0.33,0,0.52
sz159920,10:06:09,1764209172432,10:07:11,1764209171946,1.599,1.6038,-0.2993,26070.01,0.9093,4.0186,897300,1434783,1.599,0.993,1.599,2487000,1.598,11880500,1.597,9953500,1.596,8792800,1.595,1554800,1.6,8093000,1.601,8028300,1.602,5438500,1.603,5327100,1.604,2329200,10:06:12.427,10:06:09,26067.08,26066.0,-0.33,0,0.52
sz159920,10:06:09,1764209173504,10:07:12,1764209172944,1.599,1.6038,-0.2993,26069.87,0.9093,3.9329,0,0,1.599,1.071,1.599,2487000,1.598,11880500,1.597,9953500,1.596,8792800,1.595,1554800,1.6,8093000,1.601,8028300,1.602,5438500,1.603,5327100,1.604,2329200,10:06:13.492,10:06:09,26067.08,26066.0,-0.33,0,0.52
sz159920,10:06:12,1764209174480,10:07:13,1764209173937,1.599,1.6035,-0.2806,26069.87,0.9093,3.8332,500,799,1.598,0.976,1.599,3627100,1.598,10744000,1.597,10016300,1.596,8640000,1.595,1604800,1.6,6234000,1.601,9751700,1.602,5601100,1.603,5327100,1.604,2329200,10:06:14.474,10:06:09,26067.08,26066.0,-0.33,0,0.52
sz159920,10:06:12,1764209175501,10:07:14,1764209174863,1.599,1.6035,-0.2806,26071.07,0.9093,3.8802,0,0,1.599,1.021,1.599,3627100,1.598,10744000,1.597,10016300,1.596,8640000,1.595,1604800,1.6,6234000,1.601,9751700,1.602,5601100,1.603,5327100,1.604,2329200,10:06:15.498,10:06:09,26067.08,26066.0,-0.33,0,0.52
sz159920,10:06:12,1764209176398,10:07:15,1764209176076,1.599,1.6035,-0.2806,26071.07,0.9093,3.8802,0,0,1.599,0.897,1.599,3627100,1.598,10744000,1.597,10016300,1.596,8640000,1.595,1604800,1.6,6234000,1.601,9751700,1.602,5601100,1.603,5327100,1.604,2329200,10:06:16.392,10:06:15,26070.0,26069.5,0.0,1,0.54
sz159920,10:06:15,1764209177420,10:07:16,1764209176959,1.599,1.6035,-0.2806,26072.49,0.9093,3.5652,0,0,1.599,1.021,1.599,11352000,1.598,10687900,1.597,9953600,1.596,1769600,1.595,1614800,1.6,5234000,1.601,9689100,1.602,5663600,1.603,6327100,1.604,2329700,10:06:17.419,10:06:16,26070.92,26071.5,0.0,1,0.54
sz159920,10:06:15,1764209178455,10:07:17,1764209177927,1.599,1.6035,-0.2806,26072.49,0.9093,5.3603,0,0,1.599,1.036,1.599,11352000,1.598,10687900,1.597,9953600,1.596,1769600,1.595,1614800,1.6,5234000,1.601,9689100,1.602,5663600,1.603,6327100,1.604,2329700,10:06:18.452,10:06:17,26070.22,26071.5,0.0,1,0.54
sz159920,10:06:15,1764209179504,10:07:18,1764209179209,1.599,1.6035,-0.2806,26071.06,0.9093,4.4838,0,0,1.599,1.049,1.599,11352000,1.598,10687900,1.597,9953600,1.596,1769600,1.595,1614800,1.6,5234000,1.601,9689100,1.602,5663600,1.603,6327100,1.604,2329700,10:06:19.503,10:06:17,26070.22,26071.5,0.0,0,0.54
sz159920,10:06:18,1764209180492,10:07:19,1764209180026,1.599,1.6035,-0.2806,26071.06,0.9093,3.2703,100,160,1.6,0.988,1.599,11495300,1.598,10687900,1.597,9958600,1.596,1769600,1.595,1614800,1.6,4617300,1.601,9689100,1.602,6534000,1.603,6327100,1.604,2329700,10:06:20.490,10:06:19,26070.16,26069.5,0.33,0,0.54
sz159920,10:06:18,1764209181504,10:07:20,1764209181346,1.599,1.6035,-0.2806,26070.59,0.9093,3.6227,0,0,1.599,1.012,1.599,11495300,1.598,10687900,1.597,9958600,1.596,1769600,1.595,1614800,1.6,4617300,1.601,9689100,1.602,6534000,1.603,6327100,1.604,2329700,10:06:21.502,10:06:20,26069.33,26067.0,0.0,2,0.53
sz159920,10:06:18,1764209182478,10:07:21,1764209181978,1.599,1.6035,-0.2806,26070.59,0.9093,3.21,0,0,1.599,0.974,1.599,11495300,1.598,10687900,1.597,9958600,1.596,1769600,1.595,1614800,1.6,4617300,1.601,9689100,1.602,6534000,1.603,6327100,1.604,2329700,10:06:22.463,10:06:20,26069.33,26067.0,0.0,0,0.53
sz159920,10:06:21,1764209183501,10:07:22,1764209183026,1.599,1.6035,-0.2806,26069.86,0.9093,4.1819,100000,159900,1.599,1.022,1.599,5149900,1.598,11764800,1.597,10021300,1.596,4769600,1.595,1614800,1.6,8275100,1.601,7965700,1.602,6471500,1.603,5327100,1.604,2329700,10:06:22.986,10:06:20,26069.33,26067.0,0.0,0,0.53
sz159920,10:06:21,1764209184518,10:07:22,1764209183545,1.599,1.6035,-0.2806,26069.86,0.9093,3.8172,0,0,1.599,1.017,1.599,5149900,1.598,11764800,1.597,10021300,1.596,4769600,1.595,1614800,1.6,8275100,1.601,7965700,1.602,6471500,1.603,5327100,1.604,2329700,10:06:24.012,10:06:20,26069.33,26067.0,0.0,0,0.53
sz159920,10:06:21,1764209185525,10:07:24,1764209185068,1.599,1.6035,-0.2806,26069.42,0.9093,3.8172,0,0,1.599,1.007,1.599,5149900,1.598,11764800,1.597,10021300,1.596,4769600,1.595,1614800,1.6,8275100,1.601,7965700,1.602,6471500,1.603,5327100,1.604,2329700,10:06:25.029,10:06:20,26069.33,26067.0,0.0,0,0.53
sz159920,10:06:24,1764209186391,10:07:24,1764209185715,1.6,1.6035,-0.2183,26069.42,0.9093,3.3903,4300,6879,1.5998,0.866,1.599,234400,1.598,11764600,1.597,11181300,1.596,7769600,1.595,1614800,1.6,8272400,1.601,7965700,1.602,6471500,1.603,5327100,1.604,2329700,10:06:26.034,10:06:25,26064.72,26061.5,0.0,4,0.52
