symbol,tx_server_time,tx_local_time,bd_server_time,bd_local_time,price,iopv,premium_rate,index_price,fx_rate,sentiment,tick_vol,tick_amt,tick_vwap,interval_s,bp1,bv1,bp2,bv2,bp3,bv3,bp4,bv4,bp5,bv5,sp1,sv1,sp2,sv2,sp3,sv3,sp4,sv4,sp5,sv5,fut_local_time,fut_tick_time,fut_price,fut_mid,fut_imb,fut_delta_vol,fut_pct,idx_delay_ms,data_flags
sz159920,09:32:12,1764552737731,,0,1.591,1.5938,-0.1757,,0.9083,0.0,0,0,1.591,0.0,1.591,3442100,1.59,3847400,1.589,8536700,1.588,6719200,1.587,9017900,1.592,4603600,1.593,2676800,1.594,1151100,1.595,1333100,1.596,1192700,09:32:17.731,09:32:17,25970.35,25960.0,0.56,0,0.29,99999,0
sz159920,09:32:15,1764552738520,,0,1.591,1.5938,-0.1757,,0.9083,0.0,6100,9705,1.591,0.789,1.59,5692200,1.589,8537200,1.588,6734300,1.587,6017900,1.586,4733400,1.591,433800,1.592,4616700,1.593,3676800,1.594,1151100,1.595,1345600,09:32:18.038,09:32:17,25947.47,25958.0,-0.33,1,0.2,99999,0
sz159920,09:32:15,1764552739518,,0,1.591,1.5938,-0.1757,,0.9083,0.0481,0,0,1.591,0.998,1.59,5692200,1.589,8537200,1.588,6734300,1.587,6017900,1.586,4733400,1.591,433800,1.592,4616700,1.593,3676800,1.594,1151100,1.595,1345600,09:32:19.008,09:32:18,25947.72,25955.0,0.33,3,0.2,99999,0
sz159920,09:32:18,1764552740616,,0,1.591,1.5938,-0.1757,,0.9083,-0.4976,0,0,1.591,1.098,1.59,4692200,1.589,8546600,1.588,6177000,1.587,6017900,1.586,5033400,1.591,448000,1.592,4566700,1.593,3676800,1.594,1151100,1.595,1345600,09:32:20.615,09:32:20,25942.01,25953.0,-0.5,3,0.18,99999,0
sz159920,09:32:18,1764552741553,,0,1.591,1.5938,-0.1757,,0.9083,0.6339,0,0,1.591,0.937,1.59,4692200,1.589,8546600,1.588,6177000,1.587,6017900,1.586,5033400,1.591,448000,1.592,4566700,1.593,3676800,1.594,1151100,1.595,1345600,09:32:21.108,09:32:20,25940.19,25950.0,0.0,16,0.17,99999,0
sz159920,09:32:18,1764552742522,,0,1.591,1.5938,-0.1757,,0.9083,0.5227,0,0,1.591,0.969,1.59,4692200,1.589,8546600,1.588,6177000,1.587,6017900,1.586,5033400,1.591,448000,1.592,4566700,1.593,3676800,1.594,1151100,1.595,1345600,09:32:22.024,09:32:21,25938.9,25950.0,0.67,2,0.17,99999,0
sz159920,09:32:18,1764552743634,09:33:22,1764552743446,1.591,1.5938,-0.1757,25960.29,0.9083,0.6701,0,0,1.591,1.113,1.59,4692200,1.589,8546600,1.588,6177000,1.587,6017900,1.586,5033400,1.591,448000,1.592,4566700,1.593,3676800,1.594,1151100,1.595,1345600,09:32:23.034,09:32:22,25940.0,25952.0,-0.67,8,0.17,188,0
sz159920,09:32:21,1764552744656,09:33:24,1764552744480,1.591,1.5938,-0.1757,25962.53,0.9083,1.9169,0,0,1.591,1.022,1.59,4692200,1.589,4556600,1.588,7051800,1.587,6007900,1.586,9033400,1.591,1811600,1.592,4566700,1.593,3676800,1.594,1151100,1.595,1345600,09:32:24.653,09:32:24,25942.01,25953.0,-0.2,1,0.18,176,0
sz159920,09:32:21,1764552745676,09:33:24,1764552744480,1.591,1.5938,-0.1757,25962.53,0.9083,2.6666,0,0,1.591,1.02,1.59,4692200,1.589,4556600,1.588,7051800,1.587,6007900,1.586,9033400,1.591,1811600,1.592,4566700,1.593,3676800,1.594,1151100,1.595,1345600,09:32:25.671,09:32:25,25943.6,25954.0,-0.5,3,0.19,1196,0
sz159920,09:32:24,1764552746551,09:33:26,1764552746517,1.591,1.5948,-0.2383,25965.14,0.9083,2.6666,551000,876641,1.591,0.875,1.59,4734700,1.589,8556600,1.588,7051900,1.587,6007900,1.586,5034400,1.591,885800,1.592,4585100,1.593,3676800,1.594,1151100,1.595,1345600,09:32:26.041,09:32:25,25943.6,25956.0,0.14,1,0.19,34,0
