symbol,tx_server_time,tx_local_time,bd_server_time,bd_local_time,price,iopv,premium_rate,index_price,fx_rate,sentiment,tick_vol,tick_amt,tick_vwap,interval_s,bp1,bv1,bp2,bv2,bp3,bv3,bp4,bv4,bp5,bv5,sp1,sv1,sp2,sv2,sp3,sv3,sp4,sv4,sp5,sv5,idx_delay_ms,fut_delay_ms,data_flags,fut_local_time,fut_tick_time,fut_price,fut_mid,fut_imb,fut_delta_vol,fut_pct
sz159920,09:31:27,1766367090015,N/A,0,1.576,1.5833,-0.4611,,0.9044,3.8669,0,0,1.576,0.0,1.576,1777600,1.575,5206000,1.574,1774500,1.573,513400,1.572,571900,1.577,3258600,1.578,5980400,1.579,5495000,1.580,3615500,1.581,567800,99999,118,1,09:31:29.896,09:31:28,25835.83,25827.0,-0.6,0,0.43
sz159920,09:31:27,1766367090734,N/A,0,1.576,1.5833,-0.4611,,0.9044,3.1408,0,0,1.576,0.719,1.576,1777600,1.575,5206000,1.574,1774500,1.573,513400,1.572,571900,1.577,3258600,1.578,5980400,1.579,5495000,1.580,3615500,1.581,567800,99999,365,0,09:31:30.368,09:31:30,25838.5,25829.0,0.43,3,0.44
sz159920,09:31:27,1766367092006,N/A,0,1.576,1.5833,-0.4611,,0.9044,2.3733,0,0,1.576,1.273,1.576,1777600,1.575,5206000,1.574,1774500,1.573,513400,1.572,571900,1.577,3258600,1.578,5980400,1.579,5495000,1.580,3615500,1.581,567800,99999,139,0,09:31:31.867,09:31:31,25841.2,25833.5,0.0,10,0.45
sz159920,09:31:30,1766367092732,N/A,0,1.576,1.5818,-0.3667,,0.9044,2.3664,6700,10559,1.576,0.725,1.576,5055400,1.575,2906000,1.574,1774500,1.573,513400,1.572,571900,1.577,661800,1.578,7702000,1.579,5499000,1.580,3615500,1.581,567800,99999,415,0,09:31:32.316,09:31:31,25841.2,25833.5,0.0,0,0.45
sz159920,09:31:30,1766367093830,N/A,0,1.576,1.5818,-0.3667,,0.9044,2.1191,0,0,1.576,1.099,1.576,5055400,1.575,2906000,1.574,1774500,1.573,513400,1.572,571900,1.577,661800,1.578,7702000,1.579,5499000,1.580,3615500,1.581,567800,99999,6,0,09:31:33.824,09:31:33,25839.56,25834.0,0.5,3,0.45
sz159920,09:31:30,1766367094743,N/A,0,1.576,1.5818,-0.3667,,0.9044,2.0587,0,0,1.576,0.913,1.576,5055400,1.575,2906000,1.574,1774500,1.573,513400,1.572,571900,1.577,661800,1.578,7702000,1.579,5499000,1.580,3615500,1.581,567800,99999,439,0,09:31:34.304,09:31:33,25840.48,25835.0,-0.4,1,0.45
sz159920,09:31:33,1766367095828,N/A,0,1.576,1.5818,-0.3667,,0.9044,2.0186,67400,106223,1.576,1.084,1.576,5010000,1.575,3206000,1.574,1777100,1.573,213400,1.572,3571900,1.577,163300,1.578,6461400,1.579,5509000,1.580,3614800,1.581,567800,99999,0,0,09:31:35.827,09:31:35,25846.75,25839.0,-0.67,9,0.47
sz159920,09:31:33,1766367096859,N/A,0,1.576,1.5818,-0.3667,,0.9044,5.0301,0,0,1.576,1.031,1.576,5010000,1.575,3206000,1.574,1777100,1.573,213400,1.572,3571900,1.577,163300,1.578,6461400,1.579,5509000,1.580,3614800,1.581,567800,99999,386,0,09:31:36.472,09:31:36,25846.75,25839.0,0.0,10,0.47
sz159920,09:31:33,1766367097738,N/A,0,1.576,1.5818,-0.3667,,0.9044,6.8407,0,0,1.576,0.878,1.576,5010000,1.575,3206000,1.574,1777100,1.573,213400,1.572,3571900,1.577,163300,1.578,6461400,1.579,5509000,1.580,3614800,1.581,567800,99999,430,0,09:31:37.307,09:31:37,25843.24,25837.5,0.0,3,0.46
sz159920,09:31:36,1766367098939,N/A,0,1.577,1.5818,-0.3035,,0.9044,6.8026,86400,136253,1.577,1.202,1.577,846000,1.576,5010000,1.575,3206000,1.574,1482400,1.573,213400,1.578,6211400,1.579,6782200,1.580,3864800,1.581,567800,1.582,569900,99999,64,0,09:31:38.875,09:31:38,25843.24,25837.0,0.5,1,0.46
sz159920,09:31:36,1766367099791,N/A,0,1.577,1.5818,-0.3035,,0.9044,6.7374,0,0,1.577,0.852,1.577,846000,1.576,5010000,1.575,3206000,1.574,1482400,1.573,213400,1.578,6211400,1.579,6782200,1.580,3864800,1.581,567800,1.582,569900,99999,478,0,09:31:39.312,09:31:39,25844.69,25836.0,-0.5,10,0.47
sz159920,09:31:36,1766367100745,N/A,0,1.577,1.5818,-0.3035,,0.9044,6.6803,0,0,1.577,0.954,1.577,846000,1.576,5010000,1.575,3206000,1.574,1482400,1.573,213400,1.578,6211400,1.579,6782200,1.580,3864800,1.581,567800,1.582,569900,99999,391,0,09:31:40.354,09:31:40,25842.32,25834.0,-0.5,9,0.46
sz159920,09:31:36,1766367101756,N/A,0,1.577,1.5818,-0.3035,,0.9044,6.6158,0,0,1.577,1.011,1.577,846000,1.576,5010000,1.575,3206000,1.574,1482400,1.573,213400,1.578,6211400,1.579,6782200,1.580,3864800,1.581,567800,1.582,569900,99999,438,0,09:31:41.317,09:31:41,25837.6,25830.0,0.33,12,0.44
sz159920,09:31:39,1766367103016,N/A,0,1.577,1.5818,-0.3035,,0.9044,6.0048,52300,82477,1.577,1.26,1.577,793700,1.576,5010000,1.575,3206000,1.574,1482400,1.573,213400,1.578,6229000,1.579,6782200,1.580,3869800,1.581,567800,1.582,569900,99999,141,0,09:31:42.875,09:31:42,25844.69,25837.0,-0.6,1,0.47
sz159920,09:31:39,1766367103757,N/A,0,1.577,1.5818,-0.3035,,0.9044,5.8148,0,0,1.577,0.741,1.577,793700,1.576,5010000,1.575,3206000,1.574,1482400,1.573,213400,1.578,6229000,1.579,6782200,1.580,3869800,1.581,567800,1.582,569900,99999,424,0,09:31:43.333,09:31:43,25846.47,25839.0,-0.86,0,0.47
