symbol,tx_server_time,tx_local_time,index_price,fx_rate,sentiment,price,iopv,premium_rate,tick_vol,tick_amt,tick_vwap,bp1,bv1,bp2,bv2,bp3,bv3,bp4,bv4,bp5,bv5,sp1,sv1,sp2,sv2,sp3,sv3,sp4,sv4,sp5,sv5,idx_delay_ms,fut_delay_ms,data_flags,fut_price,fut_mid,fut_imb,fut_delta_vol,fut_pct
sz159920,09:30:30,1769391034079,26809.96,0.8927,4.1771,1.614,1.622,-0.4932,0,0,1.614,1.613,2686000,1.612,778700,1.611,873700,1.610,1039700,1.609,1491700,1.614,1112300,1.615,11396200,1.616,10777200,1.617,7870800,1.618,3537600,140,436,1,26893.44,26899.5,-0.2,0,0.48
sz159920,09:30:33,1769391035924,26803.07,0.8927,3.9569,1.613,1.622,-0.5549,13000,20969,1.613,1.613,2673000,1.612,777500,1.611,873700,1.610,1044700,1.609,1491700,1.614,1415300,1.615,11399200,1.616,10527200,1.617,7870800,1.618,3537600,171,278,0,26893.44,26899.5,-0.2,0,0.48
sz159920,09:30:36,1769391038911,26804.64,0.8927,4.8491,1.613,1.622,-0.5549,49400,79693,1.6132,1.613,414600,1.612,2997500,1.611,873700,1.610,1044700,1.609,1491700,1.614,3947600,1.615,9759300,1.616,10547200,1.617,7870800,1.618,3537600,286,293,0,26893.44,26899.5,-0.2,0,0.48
sz159920,09:30:39,1769391042884,26804.78,0.8927,6.2378,1.614,1.622,-0.4932,11000,17753,1.6139,1.613,413600,1.612,3007500,1.611,295900,1.610,1044700,1.609,2022200,1.614,3996600,1.615,10340400,1.616,10547200,1.617,7870800,1.618,6537600,255,268,0,26893.44,26899.5,-0.2,0,0.48
sz159920,09:30:42,1769391045135,26801.23,0.8927,5.1064,1.613,1.622,-0.5549,19500,31453,1.613,1.613,394100,1.612,3007500,1.611,827600,1.610,1024700,1.609,2022200,1.614,3768700,1.615,10356900,1.616,10547200,1.617,7827900,1.618,6537600,415,11,0,26893.44,26899.5,-0.2,0,0.48
sz159920,09:30:45,1769391048889,26800.0,0.8927,2.8974,1.613,1.6212,-0.5058,16800,27106,1.6135,1.613,385200,1.612,2600300,1.611,842800,1.610,1024700,1.609,2022200,1.614,6760800,1.615,11007900,1.616,7547200,1.617,7250100,1.618,6547600,252,274,0,26893.44,26899.5,-0.2,0,0.48
sz159920,09:30:48,1769391051893,26804.9,0.8927,3.9508,1.613,1.6212,-0.5058,22200,35819,1.6135,1.613,386100,1.612,2600300,1.611,842800,1.610,1024700,1.609,2022200,1.614,3799700,1.615,11025900,1.616,10547200,1.617,7250100,1.618,6049500,145,280,0,26893.44,26899.5,-0.2,0,0.48
sz159920,09:30:51,1769391053890,26797.27,0.8927,3.0666,1.613,1.6212,-0.5058,48800,78714,1.613,1.613,350800,1.612,2600300,1.611,842800,1.610,1025200,1.609,2022200,1.614,3489900,1.615,11460800,1.616,10547200,1.617,7250100,1.618,6049500,140,272,0,26893.44,26899.5,-0.2,0,0.48
sz159920,09:30:54,1769391057907,26798.33,0.8927,2.3476,1.613,1.6212,-0.5058,355800,573905,1.613,1.612,2600900,1.611,842800,1.610,1025200,1.609,2022200,1.608,173000,1.613,191200,1.614,13278300,1.615,11452600,1.616,7969400,1.617,2250100,162,264,0,26893.44,26899.5,-0.2,0,0.48
sz159920,09:30:57,1769391060884,26796.06,0.8927,1.2559,1.612,1.6212,-0.5675,200,323,1.615,1.612,2602500,1.611,842800,1.610,1055200,1.609,2022200,1.608,173000,1.613,627200,1.614,13284500,1.615,11428800,1.616,7969400,1.617,2250100,257,247,0,26893.44,26899.5,-0.2,0,0.48
