symbol,tx_server_time,tx_local_time,bd_server_time,bd_local_time,price,iopv,premium_rate,index_price,fx_rate,sentiment,tick_vol,tick_amt,tick_vwap,interval_s,bp1,bv1,bp2,bv2,bp3,bv3,bp4,bv4,bp5,bv5,sp1,sv1,sp2,sv2,sp3,sv3,sp4,sv4,sp5,sv5
sh513130,10:51:51,1764125513973,N/A,0,0.742,0.7421,-0.0135,0.0,0.9106,0.0,0,0,0.742,0.0,0.741,93628800,0.740,132477600,0.739,89211500,0.738,66194400,0.737,43065800,0.742,33701800,0.743,111637000,0.744,123659700,0.745,97799600,0.746,77496800
sh513130,10:51:51,1764125514892,N/A,0,0.742,0.7421,-0.0135,0.0,0.9106,0.7379,0,0,0.742,0.919,0.741,93628800,0.740,132477600,0.739,89211500,0.738,66194400,0.737,43065800,0.742,33701800,0.743,111637000,0.744,123659700,0.745,97799600,0.746,77496800
sh513130,10:51:51,1764125516010,N/A,0,0.742,0.7421,-0.0135,0.0,0.9106,1.2677,0,0,0.742,1.118,0.741,93628800,0.740,132477600,0.739,89211500,0.738,66194400,0.737,43065800,0.742,33701800,0.743,111637000,0.744,123659700,0.745,97799600,0.746,77496800
sh513130,10:51:54,1764125516895,N/A,0,0.742,0.7421,-0.0135,0.0,0.9106,1.5463,897200,665722,0.742,0.885,0.741,93950500,0.740,132481000,0.739,89211500,0.738,66194400,0.737,43065800,0.742,27843800,0.743,112615400,0.744,124649700,0.745,102966600,0.746,77496800
sh513130,10:51:54,1764125517901,N/A,0,0.742,0.7421,-0.0135,0.0,0.9106,1.7679,0,0,0.742,1.006,0.741,93950500,0.740,132481000,0.739,89211500,0.738,66194400,0.737,43065800,0.742,27843800,0.743,112615400,0.744,124649700,0.745,102966600,0.746,77496800
sh513130,10:51:54,1764125518888,N/A,0,0.742,0.7421,-0.0135,0.0,0.9106,5.0806,0,0,0.742,0.987,0.741,93950500,0.740,132481000,0.739,89211500,0.738,66194400,0.737,43065800,0.742,27843800,0.743,112615400,0.744,124649700,0.745,102966600,0.746,77496800
sh513130,10:51:57,1764125519896,N/A,0,0.742,0.7421,-0.0135,0.0,0.9106,4.3673,38700,28715,0.742,1.007,0.741,94073600,0.740,132681000,0.739,89211500,0.738,66194400,0.737,43065800,0.742,31491700,0.743,113501500,0.744,124649700,0.745,97599700,0.746,77496800
sh513130,10:51:57,1764125520900,N/A,0,0.742,0.7421,-0.0135,0.0,0.9106,4.1759,0,0,0.742,1.005,0.741,94073600,0.740,132681000,0.739,89211500,0.738,66194400,0.737,43065800,0.742,31491700,0.743,113501500,0.744,124649700,0.745,97599700,0.746,77496800
sh513130,10:52:00,1764125521901,N/A,0,0.742,0.7421,-0.0135,0.0,0.9106,4.4692,74700,55428,0.742,1.001,0.741,94492200,0.740,132693600,0.739,89211500,0.738,66194400,0.737,43065800,0.742,33983200,0.743,125676700,0.744,124999700,0.745,97605400,0.746,77493800
sh513130,10:52:00,1764125522898,N/A,0,0.742,0.7421,-0.0135,0.0,0.9106,2.8502,0,0,0.742,0.997,0.741,94492200,0.740,132693600,0.739,89211500,0.738,66194400,0.737,43065800,0.742,33983200,0.743,125676700,0.744,124999700,0.745,97605400,0.746,77493800
sh513130,10:52:00,1764125523902,N/A,0,0.742,0.7421,-0.0135,0.0,0.9106,3.0333,0,0,0.742,1.004,0.741,94492200,0.740,132693600,0.739,89211500,0.738,66194400,0.737,43065800,0.742,33983200,0.743,125676700,0.744,124999700,0.745,97605400,0.746,77493800
sh513130,10:52:03,1764125524908,N/A,0,0.742,0.7421,-0.0135,0.0,0.9106,2.7797,10000,7420,0.742,1.006,0.741,94984300,0.740,132542300,0.739,89007900,0.738,66194400,0.737,43065800,0.742,18111900,0.743,114533400,0.744,127264200,0.745,104922400,0.746,77471000
sh513130,10:52:03,1764125525907,N/A,0,0.742,0.7421,-0.0135,0.0,0.9106,1.9839,0,0,0.742,0.999,0.741,94984300,0.740,132542300,0.739,89007900,0.738,66194400,0.737,43065800,0.742,18111900,0.743,114533400,0.744,127264200,0.745,104922400,0.746,77471000
sh513130,10:52:03,1764125526915,N/A,0,0.742,0.7421,-0.0135,0.0,0.9106,2.5618,0,0,0.742,1.007,0.741,94984300,0.740,132542300,0.739,89007900,0.738,66194400,0.737,43065800,0.742,18111900,0.743,114533400,0.744,127264200,0.745,104922400,0.746,77471000
sh513130,10:52:03,1764125527912,N/A,0,0.742,0.7421,-0.0135,0.0,0.9106,2.105,0,0,0.742,0.998,0.741,94984300,0.740,132542300,0.739,89007900,0.738,66194400,0.737,43065800,0.742,18111900,0.743,114533400,0.744,127264200,0.745,104922400,0.746,77471000
sh513130,10:52:06,1764125528917,N/A,0,0.742,0.7421,-0.0135,0.0,0.9106,5.6544,53500,39697,0.742,1.005,0.741,97252800,0.740,132637500,0.739,88017900,0.738,66204400,0.737,43065800,0.742,10826000,0.743,115441500,0.744,127264200,0.745,104922400,0.746,77521000
sh513130,10:52:06,1764125529920,N/A,0,0.742,0.7421,-0.0135,0.0,0.9106,5.478,0,0,0.742,1.002,0.741,97252800,0.740,132637500,0.739,88017900,0.738,66204400,0.737,43065800,0.742,10826000,0.743,115441500,0.744,127264200,0.745,104922400,0.746,77521000
sh513130,10:52:09,1764125530916,N/A,0,0.742,0.7422,-0.0269,0.0,0.9106,4.4542,3026500,2245662,0.742,0.996,0.741,98390700,0.740,132638500,0.739,88017900,0.738,66203100,0.737,43065800,0.742,7066700,0.743,109481300,0.744,126264200,0.745,104892400,0.746,77521000
sh513130,10:52:09,1764125531934,N/A,0,0.742,0.7422,-0.0269,0.0,0.9106,5.7418,0,0,0.742,1.018,0.741,98390700,0.740,132638500,0.739,88017900,0.738,66203100,0.737,43065800,0.742,7066700,0.743,109481300,0.744,126264200,0.745,104892400,0.746,77521000
sh513130,10:52:09,1764125532925,N/A,0,0.742,0.7422,-0.0269,0.0,0.9106,5.2294,0,0,0.742,0.991,0.741,98390700,0.740,132638500,0.739,88017900,0.738,66203100,0.737,43065800,0.742,7066700,0.743,109481300,0.744,126264200,0.745,104892400,0.746,77521000
sh513130,10:52:12,1764125533928,N/A,0,0.742,0.7422,-0.0269,0.0,0.9106,4.7467,7153600,5307971,0.742,1.003,0.742,33487600,0.741,106676700,0.740,124641500,0.739,83017900,0.738,66203100,0.743,109803300,0.744,126264200,0.745,105748200,0.746,77521000,0.747,89472400
sh513130,10:52:12,1764125534922,N/A,0,0.742,0.7422,-0.0269,0.0,0.9106,3.5695,0,0,0.742,0.995,0.742,33487600,0.741,106676700,0.740,124641500,0.739,83017900,0.738,66203100,0.743,109803300,0.744,126264200,0.745,105748200,0.746,77521000,0.747,89472400
sh513130,10:52:12,1764125535920,N/A,0,0.742,0.7422,-0.0269,0.0,0.9106,1.8071,0,0,0.742,0.998,0.742,33487600,0.741,106676700,0.740,124641500,0.739,83017900,0.738,66203100,0.743,109803300,0.744,126264200,0.745,105748200,0.746,77521000,0.747,89472400
sh513130,10:52:15,1764125536932,N/A,0,0.742,0.7422,-0.0269,0.0,0.9106,1.8042,2000,1484,0.742,1.012,0.742,23957900,0.741,107252100,0.740,124371100,0.739,88017900,0.738,66206400,0.743,109501600,0.744,127020000,0.745,107124000,0.746,77521000,0.747,89472400
sh513130,10:52:15,1764125537932,N/A,0,0.742,0.7422,-0.0269,0.0,0.9106,1.7142,0,0,0.742,1.0,0.742,23957900,0.741,107252100,0.740,124371100,0.739,88017900,0.738,66206400,0.743,109501600,0.744,127020000,0.745,107124000,0.746,77521000,0.747,89472400
sh513130,10:52:15,1764125538941,N/A,0,0.742,0.7422,-0.0269,0.0,0.9106,1.6373,0,0,0.742,1.01,0.742,23957900,0.741,107252100,0.740,124371100,0.739,88017900,0.738,66206400,0.743,109501600,0.744,127020000,0.745,107124000,0.746,77521000,0.747,89472400
sh513130,10:52:18,1764125539933,N/A,0,0.742,0.7422,-0.0269,0.0,0.9106,1.4941,13900900,10314468,0.742,0.992,0.741,108158700,0.740,123672400,0.739,88017900,0.738,66206400,0.737,43175800,0.742,17048700,0.743,109539600,0.744,127020000,0.745,107979800,0.746,77541000
