local_ts,symbol,ex_time,price,interval_s,tick_vol,tick_amt,tick_vwap,bp1,bv1,bp2,bv2,bp3,bv3,bp4,bv4,bp5,bv5,sp1,sv1,sp2,sv2,sp3,sv3,sp4,sv4,sp5,sv5
1763689293574,sz159920,09:41:30,1.562,0.0,0,0,1.562,1.562,9911300,1.561,11704900,1.560,11991500,1.559,2911800,1.558,2787300,1.563,2708300,1.564,12551600,1.565,8464200,1.566,7660700,1.567,1403200
1763689294618,sz159920,09:41:33,1.562,1.044,30500,47665,1.5628,1.562,11261200,1.561,11704900,1.560,12994000,1.559,2916800,1.558,2786300,1.563,164200,1.564,12543700,1.565,9576200,1.566,7660700,1.567,1403200
1763689297647,sz159920,09:41:36,1.563,3.028,241400,377308,1.563,1.563,495900,1.562,11267800,1.561,11702300,1.560,13210800,1.559,2916800,1.564,12535400,1.565,9576200,1.566,7660700,1.567,1403200,1.568,1112800
1763689300614,sz159920,09:41:39,1.563,2.968,6300,9846,1.563,1.563,24300,1.562,11281400,1.561,11702300,1.560,13210800,1.559,2916800,1.564,12542400,1.565,9606200,1.566,7660700,1.567,1403200,1.568,1112800
1763689304084,sz159920,09:41:42,1.563,3.47,409300,639732,1.563,1.563,13000,1.562,11290400,1.561,11717300,1.560,13214900,1.559,2916800,1.564,12562000,1.565,9606200,1.566,7663700,1.567,1403200,1.568,1112800
1763689306848,sz159920,09:41:45,1.563,2.764,16200,25320,1.563,1.562,11282200,1.561,11717300,1.560,12998100,1.559,2916900,1.558,2789100,1.563,23800,1.564,12576600,1.565,9606200,1.566,7663700,1.567,1403200
1763689309921,sz159920,09:41:48,1.563,3.073,38800,60644,1.563,1.563,62300,1.562,11282200,1.561,11667300,1.560,9260500,1.559,2926900,1.564,9582500,1.565,9606200,1.566,7663700,1.567,1403200,1.568,1112800
1763689313232,sz159920,09:41:51,1.562,3.311,281000,439201,1.563,1.562,11278500,1.561,11672400,1.560,12273500,1.559,2930100,1.558,2789500,1.563,1331400,1.564,12582500,1.565,9606200,1.566,7663700,1.567,1403200
1763689316169,sz159920,09:41:54,1.563,2.937,4500,7032,1.5629,1.562,11287900,1.561,11682400,1.560,12273500,1.559,2931100,1.558,2789500,1.563,1399900,1.564,12632000,1.565,9606200,1.566,7663700,1.567,1406200
1763689319060,sz159920,09:41:57,1.563,2.891,161200,251955,1.563,1.562,11307900,1.561,11682400,1.560,12273500,1.559,2931100,1.558,2799500,1.563,7600,1.564,12632200,1.565,9606300,1.566,7663700,1.567,1406200
